OBJECTID,EPA Region,EPA Program,EPA ID,Site Name,Feature Class,Feature Type,Feature Name,Feature Description,Last Change Date,Original Creation Date,Feature Source,Feature Info URL,Feature Info URL Description,Projection Used,GIS Area,GIS Area Units,Data Disclaimer,Site Info URL,Site NPL Status,Site Federal Facility Determination,Site Address,Site Address Comment,Site City,Site County,Site State,Site Zip,Site RPM,Site RPM Phone,Site RPM Email,ORIG_FID,POINT_X,POINT_Y
272,2,Superfund Remedial,NJD980505416,LIPARI LANDFILL,5,Site Boundary,CEA_Line,Site boundary,2020-08-13,2019-10-24,"USACE, RPM",www.epa.gov/superfund/lipari,Lipari Landfill,"R2_Contiguous_Albers_Equal_Area_Conic, SR-ORG:8974",43.57465903,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/lipari,F,N,RT 322,,MANTUA TOWNSHIP,GLOUCESTER,NJ,08071,Tanya Mitchell-Calloway,(212) 637-4362,Mitchell.Tanya@epa.gov,272,-75.14046343,39.72003903
273,2,Superfund Remedial,PRN000204538,CIDRA GROUNDWATER CONTAMINATION,5,Site Boundary,area remedial plan submitted,area remedial plan submitted,2020-12-18,2020-01-28,RPM Adalberto Bosque and the contractor Brendan MacDonald of CDM Smith,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0204538,Cidra Groundwater,"R2_Contiguous_Albers_Equal_Area_Conic, SR-ORG:8974",5.66132398,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/cidra-groundwater,F,N,ROAD 171 (SOUTH OF THE VILLAGE OF CIDRA),,CIDRA,CIDRA,PR,00739,Adalberto Bosque,(787) 977-5825,bosque.adalberto@epa.gov,273,-66.1613082,18.17157732
274,2,Superfund Remedial,PRD980763783,FIBERS PUBLIC SUPPLY WELLS,5,Site Boundary,Site Boundary,Fibers Site Boundary,2020-12-18,2020-01-28,"RPM Adalberto Bosque, and Joe Biss from EHS Support",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0202559,Fibers Public Supply,"R2_Contiguous_Albers_Equal_Area_Conic, SR-ORG:8974",541.0996843,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/fibers-public-wells,F,N,RTE 3,,JOBOS,-- Not Defined --,PR,00784,Adalberto Bosque,(787) 977-5825,bosque.adalberto@epa.gov,274,-66.14903827,17.95590608
275,2,Superfund Remedial,PRR000004655,THE BATTERY RECYCLING COMPANY,5,Comprehensive Site Area,Site Boundary,"The site is located at State Road PR-2 kilometer 72.2, Barrio Cambalache, Arecibo, Puerto Rico, and occupies approximately 16 acres.",2022-07-14,2020-11-16,Contractor,https://cumulis.epa.gov/supercpad/SiteProfiles/index.cfm?fuseaction=second.Cleanup&id=0206263,Site Profile Pages,"R2_Contiguous_Albers_Equal_Area_Conic, SR-ORG:8974",16.5475841,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/battery-recycling-company,F,N,ROAD 2 KM 72.2 BO. CAMBALACHE,,ARECIBO,ARECIBO,PR,00612,Zolymar Luna-Diaz,(787) 977-5844,luna.zolymar@epa.gov,275,-66.6938784,18.45367663
276,2,Superfund Remedial,NJD002175057,STANDARD CHLORINE,5,Current Ground Boundary,SCCC OU1 Site Boundary,"The SCCC Site consists of approximately 42 acres in an industrial area of the Town of Kearny, Hudson County, New Jersey. It includes the 25-acre former SCCC property located at 1025-1035 Belleville Turnpike and a 13-acre portion of the adjacent property commonly referred to as the Seaboard property. Together, the SCCC property and 13-acre portion of the Seaboard property are designated as Area 1 of the SCCC Site. The SCCC Site also includes 3.8 acres that consist primarily of the Belleville Turnpike, Newark Turnpike, and associated right-of-ways and steep embankments, which are designated as Area 2 of the SCCC Site.",2022-07-14,2007-02-01,"SCCC Site Performing Parties Group, Final 100% Remedial Design, June 2020, Figure C-003",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200146,"Final 100% Remedial Design, June 2020, Figure C-003","R2_Contiguous_Albers_Equal_Area_Conic, SR-ORG:8974",36.81731865,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/standard-chlorine,F,N,1015-35 BELLEVILLE TURNPIKE,,KEARNY,HUDSON,NJ,07032,Josh Smeraldi,(212) 637-4302,Smeraldi.Josh@epa.gov,276,-74.09824586,40.74872431
277,2,Superfund Remedial,NJD011770013,MATTEO & SONS INC.,5,Current Ground Boundary,"Matteo & Sons, Inc. OU1 and OU2 Site Boundary","The Matteo & Sons, Inc. Superfund site is located in West Deptford, NJ. Operable Unit (OU) 1 is an approximately 80-acre area which includes an active scrap metal recycling facility, junk yard, and an inactive landfill. OU2 is an approximately 17-acre residential development located approximately 0.5-mile north of OU1. This boundary includes the boundaries for both OUs.",2022-07-07,2007-02-01,USEPA Remedial Design Contractor,https://www.epa.gov/superfund/matteo-and-sons,2018 Remedial Investigation Report,"R2_Contiguous_Albers_Equal_Area_Conic, SR-ORG:8974",110.5123202,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/matteo-and-sons,F,N,1708 US RT. 130,,THOROFARE,GLOUCESTER,NJ,08086,Thomas Dobinson,(212) 637-4176,dobinson.thomas@epa.gov,277,-75.17350627,39.85611344
278,2,Superfund Remedial,NJD980530109,GOOSE FARM,5,Site Boundary,Site boundary,Site Boundary,2020-11-18,2019-10-31,"Acradis, RPM",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200681,Goose Farm,"R2_Contiguous_Albers_Equal_Area_Conic, SR-ORG:8974",8.11282071,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/goose-farm,F,N,RT. 539 BETWEEN RTS 537 & 528,,PLUMSTEAD TOWNSHIP,OCEAN,NJ,08533,Tiffany Harden,(212) 637-4425,harden.tiffany@epa.gov,278,-74.49465664,40.095973
279,2,Superfund Remedial,PRN000206452,COROZAL WELL,5,Extent of Contamination,Site Boundary,Overall Site Boundary,2022-07-07,2021-01-05,RPM supplied PDF of site boundary,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0206452,Site Profile Pages,"R2_Contiguous_Albers_Equal_Area_Conic, SR-ORG:8974",9.20507553,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/corozal-well,F,N,[OFF OF] CARRETERA 811 KM 3.0,Off of CARRETERA 811 KM 3.0,COROZAL,COROZAL,PR,00783,Josue Colombani,(787) 977-5862,colombani.carlos@epa.gov,279,-66.28600745,18.29617808
280,2,Superfund Remedial,NJD041743220,SWOPE OIL & CHEMICAL CO.,5,Current Ground Boundary,Site Boundary,The Swope Oil and Chemical Company Site is a 1.9 acre site that was formerly used for recycling hazardous materials. There were 3 operable Units. OU1 is surface soil. OU2 is subsurface soil. OU3 is groundwater. This boundary includes the boundary of all 3 OUs.,2022-06-21,2007-02-01,"2017 Five Year Review, Figure 2",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200299,2017 Five Year Review,"R2_Contiguous_Albers_Equal_Area_Conic, SR-ORG:8974",1.98575387,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/swope-oil,F,N,8281 NATIONAL HWY,,PENNSAUKEN TOWNSHIP,CAMDEN,NJ,08110,Renee Gelblat,(212) 637-4414,gelblat.renee@epa.gov,280,-75.03399946,39.98236738
281,2,Superfund Remedial,NJD041828906,FRIED INDUSTRIES,5,Site Boundary,Site Boundary,Site Boundary,2020-11-10,2007-02-01,2007 Workforce Support Study,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200303,Site Profile Pages,"R2_Contiguous_Albers_Equal_Area_Conic, SR-ORG:8974",25.41696114,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/fried-industries,F,N,11 FRESH POND ROAD,,EAST BRUNSWICK TOWNSHIP,MIDDLESEX,NJ,08816,Supinderjit Kaur,(212) 637-4167,kaur.supinderjit@epa.gov,281,-74.44042326,40.44267982
282,2,Superfund Remedial,NJD061843249,NL INDUSTRIES,5,Current Ground Boundary,Site Boundary,"The Site is situated on 44 acres. A this location, NL conducted battery breaking and recycling. This Site has two (OUs. OU1 addresses remediation of soil, groundwater, surface water, and stream sediment. Remediation of the soil and stream sediment have been completed. The groundwater remedy is began in April 2021 and is ongoing under design. OU2 addressed slag and lead oxide piles, contaminated surfaces and debris, and contaminated standing water. OU2 is complete. ",2022-06-24,2007-02-01,"Fifth Five Year Review 2018, Figure 1",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200390,"Fifth Five Year Review 2018, Figure 1","R2_Contiguous_Albers_Equal_Area_Conic, SR-ORG:8974",46.57606758,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/nl-industries,F,N,PENNS GROVE-PEDRICKTOWN ROAD,,PEDRICKTOWN (OLDMANS TOWN,SALEM,NJ,08067,Renee Gelblat,(212) 637-4414,gelblat.renee@epa.gov,282,-75.42509321,39.75900109
283,2,Superfund Remedial,NJD980505648,PJP LANDFILL,5,Site Boundary,Site Boundary,Site Boundary,2021-01-21,2007-02-01,2007 Workforce Support Study,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200569,Site Profile Pages,"R2_Contiguous_Albers_Equal_Area_Conic, SR-ORG:8974",95.12161614,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/pjp-landfill,F,N,400 SIP AVE,,JERSEY CITY,HUDSON,NJ,07306,Renee Gelblat,(212) 637-4414,gelblat.renee@epa.gov,283,-74.08644249,40.73538781
284,2,Superfund Remedial,NY0001095363,NEW CASSEL/HICKSVILLE GROUND WATER CONTAMINATION,5,OU Boundary Aggregation,Site Boundary,Area of Observed Groundwater Contamination,2022-08-16,2019-08-28,"Hazard Ranking System Documentation Package, Fi. 1, pg. 8",https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110041622492,Site Profile Page,"R2_Contiguous_Albers_Equal_Area_Conic, SR-ORG:8974",3150.10367,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/new-cassel-hicksville,F,N,SOUTHERN END OF IRIS PLACE,,NEW CASSEL/HICKSVILLE,NASSAU,NY,11590,Aidan Conway (OU3),(212) 637-4227,conway.aidan@epa.gov,284,-73.54792715,40.74519467
285,2,Superfund Remedial,NYN000204407,PENINSULA BOULEVARD GROUNDWATER PLUME,5,OU Boundary Aggregation,Site Boundary,Site Boundary,2022-08-16,2021-03-17,"OU1 Remedial Investigation Report, July 2011",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0204407,Site Profile Pages,"R2_Contiguous_Albers_Equal_Area_Conic, SR-ORG:8974",136.5917718,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/peninsula-groundwater,F,N,PENINSULA BOULEVARD AND,PENINSULA BOULEVARD AND HAMILTON AVENUE,HEWLETT,NASSAU,NY,11557,Julio Vazquez,(212) 637-4323,vazquez.julio@epa.gov,285,-73.70545567,40.64207684
286,2,Superfund Remedial,NJD002148799,ORANGE VALLEY REGIONAL GROUND WATER CONTAMINATION,5,Site Boundary,site boundary,site boundary,2021-03-25,2021-03-25,Contractor,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0203649,Site Profile Pages,"R2_Contiguous_Albers_Equal_Area_Conic, SR-ORG:8974",1168.453511,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/orange-valley-groundwater,F,N,GIST PLACE (NEAR NORTH DAY STREET),,WEST ORANGE/ORANGE,ESSEX,NJ,07051,Blanca Melendez,(212) 637-4260,melendez.blanca@epa.gov,286,-74.23286309,40.77112917
287,2,Superfund Remedial,NJD064263817,SYNCON RESINS,5,Site Boundary,Site Boundary,Site Boundary,2021-04-21,2007-02-01,Contractor AutoCAD file provided by RPM,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200401,Site Profile Pages,"R2_Contiguous_Albers_Equal_Area_Conic, SR-ORG:8974",13.39276035,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/syncon-resins,F,N,77 JACOBUS AVE,,SOUTH KEARNY,HUDSON,NJ,07032,Pamela Baxter,(212) 637-4416,baxter.pamela@epa.gov,287,-74.11402557,40.73795491
288,2,Superfund Remedial,NJD980505762,SHARKEY LANDFILL,5,Site Boundary,Site Boundary,Overall Site Boundary,2021-04-05,2007-02-01,Contractor AutoCAD file provided by RPM,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200573,Site Profile Pages,"R2_Contiguous_Albers_Equal_Area_Conic, SR-ORG:8974",90.95958761,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/sharkey-landfill,F,N,EDWARDS & SHARKEY ROAD,,"PARSIPPANY, TROY HLS",MORRIS,NJ,07054,Pamela Baxter,(212) 637-4416,baxter.pamela@epa.gov,288,-74.34343588,40.84668958
289,2,Superfund Remedial,NYD980535124,MALTA ROCKET FUEL AREA,5,Comprehensive Site Area,Malta Rocket Fuel Ares Site Boundary,"The 445-acre Site property, which is located on the Luther Forest Technology Campus (LFTC), includes a square parcel of approximately 165 acres of developed land, known as the Malta Test Station (Test Station), and portions of predominantly undeveloped woodlands that surround the Test Station.",2022-08-12,2007-02-01,Shapefiles Provided by RPM,https://www.epa.gov/superfund/malta-rocket,Site Profile Pages,"R2_Contiguous_Albers_Equal_Area_Conic, SR-ORG:8974",619.9064941,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/malta-rocket,F,N,PLAINS RD,,MALTA,SARATOGA,NY,12020,Patricia Pierre,(212) 637-3865,Pierre.Patricia@epa.gov,289,-73.75958872,42.96327311
290,2,Superfund Remedial,NJD980772727,EMMELL'S SEPTIC LANDFILL,5,Site Boundary,Site Boundary,Combined the site property boundary and the groundwater plume,2021-04-20,2007-02-01,2007 Workforce Support Study,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200986,Site Profile Pages,"R2_Contiguous_Albers_Equal_Area_Conic, SR-ORG:8974",277.0885685,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/emmells-septic,F,N,128 ZURICH AVE,,GALLOWAY TOWNSHIP,ATLANTIC,NJ,08215,Joe Gowers,(212) 637-4413,Gowers.Joe@epa.gov,290,-74.52932203,39.50347554
291,2,Superfund Remedial,NJD980528889,"CHEMSOL, INC.",5,Site Boundary,Site Boundary,Site Boundary,2021-04-22,2007-02-01,Contractor AutoCAD file provided by RPM,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200607,Site Profile Pages,"R2_Contiguous_Albers_Equal_Area_Conic, SR-ORG:8974",248.988599,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/chemsol,F,N,FLEMING ST,,PISCATAWAY,MIDDLESEX,NJ,08854,David Montoya,(212) 637-4417,montoya.david@epa.gov,291,-74.44022943,40.56826897
292,2,Superfund Remedial,NJD980484653,CHEMICAL INSECTICIDE CORP.,5,Extent of Contamination,Site Boundary,Site Boundary,2022-07-06,2007-02-01,Image from RPM,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200517,Site Profile Pages,"R2_Contiguous_Albers_Equal_Area_Conic, SR-ORG:8974",12.15709138,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/chemical-insecticide,F,N,30 WHITMAN AV,,EDISON TOWNSHIP,MIDDLESEX,NJ,08817,Grisell Diaz-Cotto,(212) 637-4430,diaz-cotto.grisell@epa.gov,292,-74.36698121,40.52754416
293,2,Superfund Remedial,NJ0001360882,ICELAND COIN LAUNDRY AREA GW PLUME,5,Extent of Contamination,Iceland Coin Laundry Site Boundary,"The site consist of the former Iceland Coin Laundry and Dry Cleaner facility and associated with the volatile organic compounds (VOC)-contaminated groundwater plume. The facility consists of a 1,700-square foot building and adjacent parking areas on approximately 1.4 acres. The facility was operated as a dry cleaner from about 1953 until at least 1971 where four coin-operated dry cleaning units of 8 pound capacity were present, each using 4 gallons of tetrachloroethene (PCE). The plume extends from the facility approximately 8,500 feet to the southwest beneath numerous properties to the banks of the Maurice River. The plume is based on sampling data and fate and transport modeling.",2022-08-12,2019-10-24,RAC2 contractor for EPA,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0204037,2019 CEA/WRA and RAR,"R2_Contiguous_Albers_Equal_Area_Conic, SR-ORG:8974",164.1953154,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/iceland-coin-laundry,F,N,1888 SOUTH DELSEA DRIVE,,VINELAND,CUMBERLAND,NJ,08360,Michael Zeolla,(212) 637-4376,zeolla.michael@epa.gov,293,-75.05320206,39.4554867
294,2,Superfund Remedial,NJD980505887,WOODLAND ROUTE 532 DUMP,5,Extent of Contamination,CEA as Site Boundary,Site Boundary,2022-07-06,2007-02-01,Source provided by contractor,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200582,Site Profile Pages,"R2_Contiguous_Albers_Equal_Area_Conic, SR-ORG:8974",3533.372894,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/woodland-route-532,F,N,ROUTE 532,,WOODLAND TOWNSHIP,BURLINGTON,NJ,08019,Grisell Diaz-Cotto,(212) 637-4430,diaz-cotto.grisell@epa.gov,294,-74.49974131,39.82472998
295,2,Superfund Remedial,NJD980505879,WOODLAND ROUTE 72 DUMP,5,Extent of Contamination,CEA as Site Boundary,Site Boundary,2022-07-06,2007-02-01,source provided by contractor,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200581,Site Profile Pages,"R2_Contiguous_Albers_Equal_Area_Conic, SR-ORG:8974",4998.115828,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/woodland-route-72,F,N,"RTE 72, ON SOOEY ROAD",,WOODLAND TOWNSHIP,BURLINGTON,NJ,08019,Grisell Diaz-Cotto,(212) 637-4430,diaz-cotto.grisell@epa.gov,295,-74.46293116,39.81598383
